ID,fname,mname,lname,gender,dob,class,section,doj,f_fname,f_lname,phone_no,tution_fee_p,tution_fee_a,trans_fee_p,trans_fee_a,stationery_fee_p,stationery_fee_a,balance,last_updated
51,kanishk,,,M,17/11/16,2,A,29/06/21,Adarsh,Naidu,6789012345,700,1000,0,250,0,0,550,
52,zoya,,,F,20/06/16,6,B,09/03/23,Arjun,Mittal,7890123456,1000,1000,250,250,0,0,0,
53,komal,,,F,11/02/11,7,C,21/06/22,Aarav,Sinha,8901234567,700,1000,0,250,150,150,550,
54,sudhanshu,,verma,M,12/02/12,5,B,28/07/23,Aditya,Mehta,9012345678,600,1000,0,0,0,150,550,
55,ariba,,kaynath,F,03/02/11,PRE-NUR,C,09/04/21,Vikram,Vyas,1234567890,600,1000,250,250,0,150,550,
56,sourabh,,,M,07/01/12,3,A,07/03/22,Rohan,Amin,3456789012,1000,1000,250,250,150,150,0,12-02-2024 21:37:36
57,sohan,,jain,M,15/07/12,PREP,A,19/07/22,Siddharth,Jain,4567890123,1000,1000,250,250,0,0,0,
58,jigar,,patel,M,05/01/12,NUR,B,29/01/22,Aryan,Sharma,5678901234,800,1000,0,0,0,0,200,
59,eddy,,,M,17/05/10,8,A,26/07/21,Akash,Verma,6789012345,700,1000,250,250,0,0,300,
60,yuvansh,,,M,01/06/14,9,C,09/10/21,Ayush,Shah,7890123456,1000,1000,0,250,150,150,250,
61,utsav,,sen,M,09/10/09,4,B,14/09/22,Dhruv,Patel,8901234567,700,1000,0,250,150,150,550,
62,jai,singh,rana,M,03/12/16,1,A,08/03/22,Yash,Singh,9012345678,1000,1000,0,0,0,0,0,
63,aman,,kumar,M,01/05/09,2,C,10/11/20,Advait,Gupta,1234567890,700,1000,250,250,150,150,300,
64,arushi,,,F,01/08/14,7,B,18/05/21,Kabir,Chauhan,2345678901,1000,1000,0,0,0,150,150,
65,falak,,,F,29/08/13,5,C,12/01/23,Karthik,Rao,4567890123,800,1000,250,250,0,150,350,
66,laksh,,,M,09/07/13,PRE-NUR,A,24/06/21,Rahul,Trivedi,5678901234,1000,1000,0,250,0,0,250,
67,lavish,,kumar,M,06/11/10,3,C,23/12/21,Rishi,Mehta,6789012345,1000,1000,0,0,150,150,0,10-02-2024 01:11:02
68,drishti,,singh,F,07/05/15,PREP,B,14/01/23,Pranav,Mishra,7890123456,1000,1000,250,250,0,150,150,
69,hammad,,,M,23/05/11,6,A,07/04/23,Abhinav,Jain,8901234567,1000,1000,250,250,0,150,150,
70,shyaan,,,M,25/06/13,NUR,A,11/06/22,Arnav,Sharma,9012345678,1000,1000,0,250,0,150,400,
71,sachit,,singh,M,03/02/13,1,C,09/11/21,Virat,Raj,1234567890,1000,1000,250,250,150,150,0,
72,shanu,,sharma,M,14/10/11,8,B,14/06/20,Harsh,Patel,2345678901,1000,1000,0,0,0,0,0,
73,ayush,,,M,12/07/17,2,C,15/06/23,Vedant,Reddy,3456789012,1000,1000,0,0,0,0,0,
74,sunny,,,M,25/10/10,4,A,19/05/20,Krishna,Singh,5678901234,900,1000,0,0,0,0,100,
75,khushi,,,F,09/01/16,5,B,20/08/22,Shaurya,Shah,6789012345,800,1000,0,0,0,0,200,
76,guneet,,,M,16/07/17,7,B,11/02/22,Aadi,Gupta,7890123456,1000,1000,250,250,150,150,0,
77,ran vijay,,,M,15/01/12,9,A,13/06/23,Hrithik,Joshi,8901234567,600,1000,0,250,0,150,800,
78,sanjit,,,M,03/10/14,3,B,27/06/22,Kunal,Pandey,9012345678,900,1000,250,250,0,0,100,
79,ankit,,suri,M,16/12/10,PRE-NUR,C,15/02/22,Parth,Rao,1234567890,1000,1000,0,0,150,150,0,
80,rimsha,,,F,11/07/11,6,A,21/11/22,Aman,Das,2345678901,1000,1000,0,0,0,0,0,
81,himanshu,,sharma,M,09/07/09,1,C,08/10/21,Dev,Choudhary,3456789012,1000,1000,0,0,150,150,0,
82,krishna,,,M,25/10/14,2,A,12/02/23,Ishaan,Chauhan,4567890123,1000,1000,0,0,0,0,0,
83,yushra,,,F,20/02/16,8,B,01/10/23,Vivaan,Kumar,6789012345,1000,1000,0,0,0,0,0,
84,kartik ,,raj,M,22/02/12,PREP,C,15/04/23,Tanish,Nair,7890123456,1000,1000,0,0,150,150,0,
85,roshni,,kumari,F,10/09/15,4,B,05/08/21,Ansh,Pillai,8901234567,1000,1000,0,0,0,150,150,
86,dheeraj,,,M,12/10/16,3,C,18/10/23,Vihaan,Soni,9012345678,1000,1000,0,250,150,150,250,
87,rehan ,,khan,M,09/08/10,NUR,A,21/09/20,Veer,Mehta,1234567890,900,1000,0,0,150,150,100,
88,sazia,,,F,12/01/12,7,B,15/05/23,Surya,Saxena,2345678901,1000,1000,0,250,0,150,400,
89,shivam,,patel,M,20/11/15,9,A,11/09/22,Sarthak,Roy,3456789012,900,1000,0,0,0,0,100,
90,shivani,,singh,F,06/01/17,5,C,13/09/22,Jay,Rao,4567890123,1000,1000,250,250,0,0,0,
91,bittu,,gupta,M,21/03/17,6,B,05/08/23,Rishabh,Shinde,5678901234,1000,1000,0,0,0,0,0,
92,divyansh,,singh,M,06/09/17,8,A,05/11/22,Vihaan,Sen,7436571674,1000,1000,250,250,150,150,0,15-02-2024 21:38:20
93,abhishek,,thakur,M,28/08/09,2,C,14/06/20,Sahil,Singhania,5786587148,900,1000,0,250,0,0,350,
94,vaniya,,singh,F,24/02/13,PRE-NUR,B,17/02/22,Arush,Prasad,5165215456,1000,1000,250,250,150,150,0,
95,yusuf,,,M,06/03/17,3,C,09/08/21,Pratham,Khan,6572555141,900,1000,0,0,0,150,250,
96,haarish,,ali,M,25/05/16,1,A,21/08/23,Lakshya,Kulkarni,4614145342,1000,1000,0,250,0,150,400,
97,arslan,,,M,01/01/18,7,B,01/10/23,Advaith,Mukherjee,6164514514,600,1000,0,0,0,0,400,
98,puran,,,M,17/09/15,PREP,B,15/04/23,Atharva,Shelke,4164654222,1000,1000,250,250,0,0,0,12-02-2024 22:39:01
99,sahil,,raj,M,01/05/09,4,A,05/08/21,Advik,Dutta,5426717742,1000,1000,0,0,0,150,150,
100,gudiya,,,F,09/07/09,NUR,C,18/10/23,Yuvraj,Naidu,9748365764,900,1000,0,250,0,0,350,
101,aafiya,,,F,06/03/17,6,A,21/09/20,Krish,Amin,8747683255,1000,1000,0,0,150,150,0,
105,kp,,,Male,29/02/24,Class 2,Section C,29/02/24,,,789417985,2000,2000,300,500,400,600,600,29-02-2024 01:35:12
123,Kumar,,,Male,19/03/24,Class 2,Section C,19/03/24,,,7081375897,2000,2000,350,500,550,560,-3840,19-03-2024 15:54:13
124,riti,,,Female,19/03/24,Class 2,Section B,19/03/24,,,8189567813,0,2000,0,0,0,0,160,19-03-2024 15:59:11
125,tututt1514,,,Male,19/03/24,Class 3,Section B,19/03/24,,,15461641,0,2000,0,0,0,0,2000,19-03-2024 16:03:00
126,tqgqrg,,,Male,19/03/24,Class 1,Section C,19/03/24,,,1641461412,2000,2000,500,500,500,500,100,19-03-2024 16:15:58
